"Model","Predictor","Estimate","Std. Error","z value","Pr(>|z|)","Odds_Ratio"
"Overall_Music_Enrollment","(Intercept)",-3.21742570422701,0.205658169543814,-15.6445314638549,3.62023922886074e-55,0.0400580469029819
"Overall_Music_Enrollment","RaceAfr Amer",-0.475200965013446,0.0847963895326891,-5.60402356317607,2.09432217770643e-08,0.621760091883461
"Overall_Music_Enrollment","RaceAmer Ind",0.00176724242265977,0.303386507166896,0.00582505279869812,0.995352306589739,1.00176880491585
"Overall_Music_Enrollment","RaceAsian",0.036776091439837,0.160895273232565,0.228571608730104,0.819201893361734,1.03746069849842
"Overall_Music_Enrollment","RaceHispanic",-0.536578640087272,0.0773586822806921,-6.9362432795885,4.02663950510022e-12,0.584745458516165
"Overall_Music_Enrollment","RacePac Is",-0.540970712969839,0.719391374658239,-0.751983874183698,0.452060756443896,0.582182845555523
"Overall_Music_Enrollment","RaceTwo+",0.116496415546189,0.199385435292083,0.584277459261412,0.559033654847152,1.12355348313442
"Overall_Music_Enrollment","sexF",0.229482104185799,0.196931932321584,1.16528640876312,0.243903078745513,1.25794835501182
"Overall_Music_Enrollment","sexM",0.237207564813126,0.197198666121093,1.20288625414669,0.229020340335378,1.26770422125861
"Overall_Music_Enrollment","EcoDisY",-0.168339766493148,0.0487758484497646,-3.45129345451622,0.000557906599104467,0.845066660565613
"Overall_Music_Enrollment","ELLY",-0.177105378462475,0.0531030034608579,-3.33512921906609,0.000852597703187436,0.837691505228858
"Overall_Music_Enrollment","IEPY",-0.530767548863265,0.0962475081120259,-5.51461081200654,3.49552609935263e-08,0.588153359941408
"Band_Enrollment","(Intercept)",-5.99141518978677,0.723107539444626,-8.28564890139079,1.17466842366785e-16,0.00250012339634827
"Band_Enrollment","RaceAfr Amer",-0.352171078395044,0.186854276558097,-1.88473651704486,0.059465419577022,0.703159816232957
"Band_Enrollment","RaceAmer Ind",-11.6426717842877,140.547369786561,-0.0828380623697806,0.933980303725171,8.78318215025592e-06
"Band_Enrollment","RaceAsian",-0.357875652105494,0.437724469991888,-0.817582010236087,0.413595903266524,0.699160008676406
"Band_Enrollment","RaceHispanic",-0.119894363712777,0.167479143912406,-0.71587638264669,0.474067682714591,0.887014132647912
"Band_Enrollment","RacePac Is",0.55775692351361,1.01903490533613,0.547338389090443,0.584146274493329,1.74675000884412
"Band_Enrollment","RaceTwo+",0.369382864353311,0.409374749993336,0.902309838013518,0.36689230094239,1.44684144165847
"Band_Enrollment","sexF",1.2245497926669,0.710789618078413,1.72280202400453,0.0849243326487949,3.40263384719498
"Band_Enrollment","sexM",1.53826586359209,0.710302776544344,2.16564810724213,0.0303380872595044,4.65650824486447
"Band_Enrollment","EcoDisY",-0.335919459891703,0.0965430726256434,-3.47947761300563,0.000502392342121054,0.71468066395623
"Band_Enrollment","ELLY",-0.355780586055729,0.110016216925135,-3.23389220243625,0.00122115537961739,0.700626330558189
"Band_Enrollment","IEPY",-0.42051548738598,0.18960592575347,-2.21783937245054,0.0265657865092615,0.656708207750066
"Choir_Enrollment","(Intercept)",-4.68381764706312,0.470180197800682,-9.96175013106076,2.24082771145699e-23,0.00924365741914977
"Choir_Enrollment","RaceAfr Amer",-0.407995030259603,0.182338555255443,-2.23756862440877,0.0252491995296729,0.664982183603011
"Choir_Enrollment","RaceAmer Ind",0.194139279283879,0.600729986162297,0.323172279985752,0.746564772849171,1.21426539319359
"Choir_Enrollment","RaceAsian",0.277402475409009,0.326454803001813,0.849742362061275,0.395468340835169,1.31969740991757
"Choir_Enrollment","RaceHispanic",-0.98401832948515,0.174802321725144,-5.62932070795033,1.80920725257245e-08,0.373806001211124
"Choir_Enrollment","RacePac Is",-11.7724598328844,252.031086639382,-0.0467103482743341,0.962744082619654,7.71410695761827e-06
"Choir_Enrollment","RaceTwo+",-0.176475071619592,0.472676300713331,-0.373352908434943,0.708885803259014,0.838219674353649
"Choir_Enrollment","sexF",0.445638714253914,0.453238027529509,0.983233284027341,0.325492636967587,1.56148722153721
"Choir_Enrollment","sexM",-0.378221324612994,0.459567005477055,-0.822994949823214,0.410510865313237,0.685078859072127
"Choir_Enrollment","EcoDisY",-0.2596247541171,0.121075133703404,-2.14432762678668,0.0320066446964009,0.771340974029117
"Choir_Enrollment","ELLY",-0.5373346534726,0.161253053857294,-3.33224482029426,0.000861484345982939,0.584303550187871
"Choir_Enrollment","IEPY",0.0599490776718788,0.196473487286676,0.305125533728664,0.760270544799708,1.06178247673302
"Orchestra_Enrollment","(Intercept)",-6.22776583305932,1.03942836258743,-5.99152963034088,2.07876440132363e-09,0.00197385689988245
"Orchestra_Enrollment","RaceAfr Amer",-1.32196110544234,0.435313584294169,-3.03680186683309,0.00239102563941312,0.266611934828133
"Orchestra_Enrollment","RaceAmer Ind",-12.3064126452063,378.741479259861,-0.032492909594311,0.974078970369785,4.52264912950236e-06
"Orchestra_Enrollment","RaceAsian",1.36201241099849,0.454839101659144,2.99449279103357,0.00274901551926878,3.90404193874087
"Orchestra_Enrollment","RaceHispanic",-0.243923868021562,0.31955904459878,-0.763313923183801,0.445276200516635,0.783547284997176
"Orchestra_Enrollment","RacePac Is",-12.171328804827,676.41546368679,-0.0179938653952223,0.985643747325482,5.17677229578887e-06
"Orchestra_Enrollment","RaceTwo+",0.772571899177893,0.644672324366974,1.19839470375358,0.230763393346749,2.16532810403069
"Orchestra_Enrollment","sexF",0.503278502996239,1.00962707463555,0.498479602657157,0.618146042435586,1.65413547872511
