"Model","Predictor","Estimate","Std. Error","z value","Pr(>|z|)","Odds_Ratio"
"Music_Enrollment_20","(Intercept)",-1.22520109609164,0.0593415950269442,-20.6465818037978,1.04776073683556e-94,0.293698632737437
"Music_Enrollment_20","Race_cumAfr Amer",-0.0507797079936581,0.0669708451059718,-0.758236034102698,0.448309692879375,0.950488032386867
"Music_Enrollment_20","Race_cumAmer Ind",-0.144242745384728,0.263455718772045,-0.547502806380656,0.584033342970782,0.865677583313964
"Music_Enrollment_20","Race_cumAsian",0.26227108820683,0.117219970521966,2.23742666918418,0.0252584671114407,1.29987887650414
"Music_Enrollment_20","Race_cumHispanic",-0.275830389899157,0.0630560025215952,-4.37437165168679,1.21782748803233e-05,0.758941644014174
"Music_Enrollment_20","Race_cumPac Is",0.494389676709819,0.389123092609159,1.27052258295652,0.203898543854268,1.6394973102504
"Music_Enrollment_20","Race_cumTwo+",0.161058089377729,0.164919417346602,0.976586577669279,0.328773866748456,1.17475320751469
"Music_Enrollment_20","sexF",0.00295579902228465,0.0283542645392769,0.104245307374847,0.916974679723831,1.00296017170341
"Music_Enrollment_20","Eco_Dis_CumY",0.0335391288248257,0.0359894392293846,0.931915849287303,0.351380016050413,1.03410790636176
"Music_Enrollment_20","ELL_cumY",-0.0813685880645218,0.0334208730204908,-2.43466375084318,0.014905633784766,0.921853844492377
"Music_Enrollment_20","IEP_cumY",-0.456390059287272,0.0582297296812426,-7.83774992234401,4.58691372236115e-15,0.633566660334917
"Band_Enrollment_20","(Intercept)",-2.42956947472989,0.0965455480437202,-25.1650078533882,9.68215192764714e-140,0.0880747428235727
"Band_Enrollment_20","Race_cumAfr Amer",0.00701987874554666,0.109628055932889,0.0640335969274506,0.948943475211924,1.00704457585075
"Band_Enrollment_20","Race_cumAmer Ind",-0.0247727240004112,0.433102673569276,-0.057198270784742,0.954387255620993,0.975531601754921
"Band_Enrollment_20","Race_cumAsian",-0.361443998991881,0.234020580746027,-1.54449663290145,0.122468066332716,0.696669609183539
"Band_Enrollment_20","Race_cumHispanic",-0.0857659475234945,0.103044339807148,-0.832320801744273,0.405227892107262,0.91780902155752
"Band_Enrollment_20","Race_cumPac Is",0.392037065709462,0.615466146429448,0.636975840155982,0.524140580741683,1.47999256736015
"Band_Enrollment_20","Race_cumTwo+",0.310407767205119,0.252491109904006,1.22938097631688,0.218928999423871,1.3639811875469
"Band_Enrollment_20","sexF",-0.279583682890831,0.0462043801036078,-6.05102118595461,1.43930516005494e-09,0.75609845266341
"Band_Enrollment_20","Eco_Dis_CumY",-0.0586647241369637,0.0574383017065346,-1.02135199673373,0.307087699609654,0.94302288897343
"Band_Enrollment_20","ELL_cumY",-0.114173333239173,0.0544825186669388,-2.09559572561494,0.0361180687242199,0.892103311323646
"Band_Enrollment_20","IEP_cumY",-0.182899778943999,0.0876243529006444,-2.08731674345585,0.0368595122565094,0.832851620823472
"Choir_Enrollment_20","(Intercept)",-2.94967002999026,0.105465512007873,-27.9681004134324,3.97166468739496e-172,0.0523569793314063
"Choir_Enrollment_20","Race_cumAfr Amer",-0.405046715644904,0.117754112559603,-3.43976704371905,0.000582215091064084,0.666945653334396
"Choir_Enrollment_20","Race_cumAmer Ind",-1.84907285500691,1.01112740160635,-1.82872390963723,0.0674409787769988,0.157383015566358
"Choir_Enrollment_20","Race_cumAsian",-0.197267402529122,0.22739848180859,-0.867496567963763,0.385669991430947,0.820971074217056
"Choir_Enrollment_20","Race_cumHispanic",-0.965333348660002,0.112470278102,-8.58300846188483,9.24235549644227e-18,0.380856220665549
"Choir_Enrollment_20","Race_cumPac Is",-0.742163669051297,1.02389143311656,-0.724846057938265,0.468546476426754,0.476082714898808
"Choir_Enrollment_20","Race_cumTwo+",0.00801729856709737,0.276871185438355,0.028956782029896,0.97689905907103,1.00804952316576
"Choir_Enrollment_20","sexF",0.812785920761839,0.0717749659562545,11.324086468494,9.97129593904408e-30,2.25417921171918
"Choir_Enrollment_20","Eco_Dis_CumY",-0.25367451465421,0.0776150235452572,-3.26836871351708,0.00108169348082846,0.77594431945402
"Choir_Enrollment_20","ELL_cumY",-0.45305022937155,0.0912822406326513,-4.96318041966966,6.93481064862081e-07,0.635686202706021
"Choir_Enrollment_20","IEP_cumY",-0.241359186193599,0.136761025979335,-1.76482433109319,0.0775932941034854,0.785559413612292
"Orchestra_Enrollment_20","(Intercept)",-3.75779175968289,0.170511018172093,-22.0384101858463,1.23394525560025e-107,0.0233352132804822
"Orchestra_Enrollment_20","Race_cumAfr Amer",-0.873408949803154,0.225179460857804,-3.87872386973469,0.000105005865431406,0.417525795987663
"Orchestra_Enrollment_20","Race_cumAmer Ind",-0.397637505009949,1.02017251016229,-0.389774769510983,0.696703102135807,0.671905545916452
"Orchestra_Enrollment_20","Race_cumAsian",1.59208145148467,0.238818336677985,6.66649585467713,2.6198308483063e-11,4.91396647378762
"Orchestra_Enrollment_20","Race_cumHispanic",0.117498958381952,0.179442775380879,0.654799047398553,0.512597144048944,1.12468045845566
"Orchestra_Enrollment_20","Race_cumPac Is",1.32266605352072,0.752232436456492,1.75832095163477,0.0786929147204705,3.7534148546567
"Orchestra_Enrollment_20","Race_cumTwo+",0.993561036460596,0.338334745056164,2.93662135201533,0.00331808970268839,2.7008351404484
"Orchestra_Enrollment_20","sexF",0.239861601123843,0.0941075536768287,2.5488028511244,0.0108093387546252,1.27107322304203
"Orchestra_Enrollment_20","Eco_Dis_CumY",-0.475803049644699,0.1041861222112,-4.56685631009645,4.95093138247383e-06,0.621385852361049
