"Model","Predictor","Estimate","Std. Error","z value","Pr(>|z|)"
"Band_Enrollment","(Intercept)",-6.34358626818033,0.716340135306712,-8.85555053461332,8.32717821585399e-19
"Band_Enrollment","RaceAmer Ind",-11.2905007059341,140.547319481481,-0.0803323802089427,0.935972905741404
"Band_Enrollment","RaceAsian",-0.00570457371062628,0.423047986353594,-0.0134844601431533,0.989241283486102
"Band_Enrollment","RaceHispanic",0.232276714682326,0.114889508132356,2.02174000444616,0.0432032187331873
"Band_Enrollment","RacePac Is",0.909928001908423,1.01104359023644,0.899988893352882,0.368126161353008
"Band_Enrollment","RaceTwo+",0.721553942748468,0.394152765646114,1.83064538838301,0.0671534892591858
"Band_Enrollment","RaceWhite",0.352171078394718,0.186854276557946,1.88473651704464,0.0594654195770514
"Band_Enrollment","sexF",1.22454979266359,0.710789618077202,1.72280202400282,0.0849243326491055
"Band_Enrollment","sexM",1.53826586358959,0.71030277654373,2.16564810724048,0.0303380872596304
"Band_Enrollment","EcoDisY",-0.335919459891448,0.0965430726255797,-3.47947761300528,0.0005023923421217
"Band_Enrollment","ELLY",-0.35578058605563,0.110016216925095,-3.23389220243653,0.00122115537961618
"Band_Enrollment","IEPY",-0.420515487385915,0.189605925753407,-2.21783937245093,0.0265657865092348
"Choir_Enrollment","(Intercept)",-5.09181267732164,0.464796431164729,-10.9549306662319,6.29265382187999e-28
"Choir_Enrollment","RaceAmer Ind",0.602134309542965,0.588968203109899,1.02235452841689,0.306613133768749
"Choir_Enrollment","RaceAsian",0.685397505668546,0.310043145792545,2.21065201721039,0.0270599436641129
"Choir_Enrollment","RaceHispanic",-0.576023299225902,0.124997012283765,-4.60829654006631,4.05981374632338e-06
"Choir_Enrollment","RacePac Is",-11.3644648026249,252.031055154849,-0.0450915257075863,0.964034356059425
"Choir_Enrollment","RaceTwo+",0.231519958639752,0.45997567776076,0.503330871246999,0.614731665181846
"Choir_Enrollment","RaceWhite",0.40799503025947,0.182338555255376,2.23756862440886,0.0252491995296668
"Choir_Enrollment","sexF",0.445638714253898,0.453238027529081,0.983233284028235,0.325492636967147
"Choir_Enrollment","sexM",-0.378221324613469,0.45956700547705,-0.822994949824259,0.410510865312642
"Choir_Enrollment","EcoDisY",-0.259624754117065,0.12107513370336,-2.14432762678717,0.0320066446963621
"Choir_Enrollment","ELLY",-0.537334653472454,0.161253053857254,-3.33224482029418,0.000861484345983196
"Choir_Enrollment","IEPY",0.0599490776714871,0.19647348728653,0.305125533726897,0.760270544801053
"Orchestra_Enrollment","(Intercept)",-7.54972693850863,1.05345751945064,-7.16661735201782,7.68735059398087e-13
"Orchestra_Enrollment","RaceAmer Ind",-10.9844515397113,378.741500550075,-0.0290025030891987,0.976862594258861
"Orchestra_Enrollment","RaceAsian",2.68397351644013,0.482023400814451,5.56813945527365,2.57473727460427e-08
"Orchestra_Enrollment","RaceHispanic",1.07803723742108,0.338314070121579,3.18649838309613,0.00144006292706483
"Orchestra_Enrollment","RacePac Is",-10.849367699411,676.41547011664,-0.0160395026115239,0.987202877215666
"Orchestra_Enrollment","RaceTwo+",2.09453300461857,0.662620227886837,3.1609856090543,0.00157236266689928
"Orchestra_Enrollment","RaceWhite",1.32196110544259,0.435313584293506,3.03680186683831,0.00239102563937166
"Orchestra_Enrollment","sexF",0.503278502996467,1.00962707463435,0.498479602657979,0.618146042435006
"Orchestra_Enrollment","sexM",0.355049970224202,1.01231460712127,0.350730857508674,0.725790273393873
"Orchestra_Enrollment","EcoDisY",-0.484565705051318,0.207158698948713,-2.33910382479899,0.0193300607855854
"Orchestra_Enrollment","ELLY",-1.19362144000474,0.310560221240718,-3.84344599973592,0.000121318703301681
"Orchestra_Enrollment","IEPY",-1.98454082124301,1.00613728241347,-1.97243542797917,0.0485599208405515
"Jazz_Enrollment","(Intercept)",-19.6006022204883,294.806355756386,-0.0664863624469662,0.946990614876076
"Jazz_Enrollment","RaceAmer Ind",0.77675995696616,1.01846950746238,0.762673748477294,0.445657990227337
"Jazz_Enrollment","RaceAsian",0.895566194415285,0.487052687173691,1.83874602891968,0.0659525498612263
"Jazz_Enrollment","RaceHispanic",0.510701407716841,0.201584880432659,2.53343111160286,0.0112951939489216
"Jazz_Enrollment","RacePac Is",2.13252033781419,1.02264826343455,2.08529209315054,0.0370427947115287
"Jazz_Enrollment","RaceTwo+",0.652517239186569,0.732622731534815,0.890659286287187,0.373111983000224
"Jazz_Enrollment","RaceWhite",1.0518114514231,0.270042738664807,3.89498142636108,9.82062547731274e-05
"Jazz_Enrollment","sexF",13.1708449670865,294.806313848021,0.0446762648844636,0.964365352681602
"Jazz_Enrollment","sexM",13.8061669708952,294.806306213861,0.0468313149342192,0.962647670698163
"Jazz_Enrollment","EcoDisY",-0.437705831700928,0.143924945407253,-3.04120894722168,0.00235630250766291
"Jazz_Enrollment","ELLY",-0.0661642937383935,0.155564308479718,-0.425317956188003,0.670604905513365
"Jazz_Enrollment","IEPY",-0.515781530314687,0.298677816788903,-1.72688261840091,0.0841887466613956
"Guitar_Enrollment","(Intercept)",-19.0871139908923,290.950266860957,-0.0656026687887999,0.947694164306725
"Guitar_Enrollment","RaceAmer Ind",-13.3393705802048,626.673914299774,-0.0212859834689462,0.983017524878667
"Guitar_Enrollment","RaceAsian",0.680384277107109,0.531409679967185,1.28033850860437,0.200426109963033
"Guitar_Enrollment","RaceHispanic",-0.553724356132034,0.208242662329502,-2.65903417646418,0.00783650132118108
"Guitar_Enrollment","RacePac Is",-13.2829615141089,1129.01192206351,-0.0117651206816589,0.99061300840749
